timestamp,BTC: Price,BTC: MVRV Ratio,200D-SMA,Mayer Multiple,BTC: Realized Price,---,Very High Risk,Very Low Risk,High Risk,Low Risk
2013-09-20 00:00:00+00:00,122.981812394,2.1698643034526546,103.171800110838,1.1920099509931976,56.67719045763056,1,0.0,0.0,0.1,0.0
2013-09-21 00:00:00+00:00,123.404,2.1763570992902994,103.584070110838,1.1913414858863345,56.714941609651575,1,0.0,0.0,0.1,0.0
2013-09-22 00:00:00+00:00,123.155278954,2.1639958987898957,103.98772107131902,1.1843252038337786,56.83508107329427,1,0.0,0.0,0.1,0.0
2013-09-23 00:00:00+00:00,122.64674409,2.1583954248018538,104.39255260713304,1.174861051166783,56.89323345061907,1,0.0,0.0,0.1,0.0
2013-09-24 00:00:00+00:00,123.772,2.1716463061447175,104.79261260713304,1.181113791522887,56.99454816826506,1,0.0,0.0,0.1,0.0
2013-09-25 00:00:00+00:00,123.29541168800002,2.170682952841866,105.17908966557304,1.1722426204679044,57.10921525306276,1,0.0,0.0,0.1,0.0
2013-09-26 00:00:00+00:00,124.840458308,2.1795159143128098,105.57684195711305,1.1824606229338832,57.18884601000934,1,0.0,0.0,0.1,0.0
2013-09-27 00:00:00+00:00,126.858838722,2.214932570098557,105.96988615072304,1.1971215911430366,57.27435698701888,1,0.0,0.0,0.1,0.0
2013-09-28 00:00:00+00:00,126.760264032,2.2115479704740024,106.37948747088303,1.1915855870869407,57.33775410208344,1,0.0,0.0,0.1,0.0
2013-09-29 00:00:00+00:00,127.01000000000002,2.2117907419121345,106.77958747088302,1.1894595494165352,57.424058068982376,1,0.0,0.0,0.1,0.0
2013-09-30 00:00:00+00:00,126.25,2.1945555108535517,107.17608747088302,1.1779679868823243,57.52873389422546,1,0.0,0.0,0.1,0.0
2013-10-01 00:00:00+00:00,127.495375,2.211572366549849,107.578284345883,1.1851404377307233,57.64919879103864,1,0.0,0.0,0.1,0.0
2013-10-02 00:00:00+00:00,103.719813386,1.7977015607616842,107.863207935308,0.9615865814801928,57.528096763837574,1,0.0,0.0,0.0,0.1
2013-10-03 00:00:00+00:00,117.57163172,2.0430556485186973,108.215625268306,1.0864570752005271,57.546955123441926,1,0.0,0.0,0.1,0.0
2013-10-04 00:00:00+00:00,121.94,2.1147928969344503,108.573162806109,1.1231136392126813,57.66049251288914,1,0.0,0.0,0.1,0.0
2013-10-05 00:00:00+00:00,121.25,2.0999854437870096,108.882362806109,1.1135871492421094,57.738495454208376,1,0.0,0.0,0.1,0.0
2013-10-06 00:00:00+00:00,122.48999999999998,2.11856231124116,109.172522948307,1.121985612240534,57.817511125381635,1,0.0,0.0,0.1,0.0
2013-10-07 00:00:00+00:00,123.58300198,2.119179990734273,109.429287958207,1.1293411872258416,58.316425466616366,1,0.0,0.0,0.1,0.0
2013-10-08 00:00:00+00:00,124.35379779999998,2.1328238550932532,109.701556947207,1.1335645660876468,58.385482029670634,1,0.0,0.0,0.1,0.0
2013-10-09 00:00:00+00:00,125.9,2.1509442570722945,110.011556947207,1.1444252176197964,58.5324327146282,1,0.0,0.0,0.1,0.0
2013-10-10 00:00:00+00:00,126.8,2.1622629553674835,110.293616947207,1.149658552413726,58.60171400220138,1,0.0,0.0,0.1,0.0
2013-10-11 00:00:00+00:00,127.4028133,2.1693826166451644,110.55508101370698,1.1523922024371198,58.70333754077002,1,0.0,0.0,0.1,0.0
2013-10-12 00:00:00+00:00,127.664017652,2.171086722982673,110.79435110196698,1.1522610709142331,58.80188877237167,1,0.0,0.0,0.1,0.0
2013-10-13 00:00:00+00:00,132.546798864,2.249336042105345,111.010585096287,1.194001443637408,58.92707731653034,1,0.0,0.0,0.1,0.0
2013-10-14 00:00:00+00:00,135.36291349799998,2.287985994739174,111.242517003917,1.2168271371748418,59.16247468701446,1,0.0,0.0,0.1,0.0
2013-10-15 00:00:00+00:00,144.037009566,2.4236790796159227,111.512702051747,1.291664598882737,59.42907655448566,1,0.0,0.0,0.1,0.0
2013-10-16 00:00:00+00:00,137.725951932,2.299460765872427,111.740070873525,1.2325565113332313,59.89489100056293,1,0.0,0.0,0.1,0.0
2013-10-17 00:00:00+00:00,143.925082672,2.392550114391698,111.978950557337,1.2852869396941302,60.11350803097691,1,0.0,0.0,0.1,0.0
2013-10-18 00:00:00+00:00,152.89,2.5311456265663868,112.21987055733702,1.3624146885990498,60.40432300981632,1,0.0,0.0,0.1,0.0
2013-10-19 00:00:00+00:00,166.0,2.7183692282873113,112.470854649567,1.475937926471861,60.923935111766895,1,0.0,0.0,0.1,0.0
2013-10-20 00:00:00+00:00,166.577402846,2.7180117572979774,112.641013274047,1.4788343783869369,61.25106324392863,1,0.0,0.0,0.1,0.0
2013-10-21 00:00:00+00:00,180.04214545399998,2.8793100327338887,112.86652237653703,1.5951775749177115,62.52961418088451,1,0.0,0.0,0.1,0.0
2013-10-22 00:00:00+00:00,189.671875,2.9695514255214968,113.10593466958704,1.676940078821529,63.8722311288786,1,0.0,0.0,0.1,0.0
2013-10-23 00:00:00+00:00,203.67647213,3.1265406100528836,113.41931703023704,1.795782918316294,65.14804232674105,1,0.0,0.0,0.1,0.0
2013-10-24 00:00:00+00:00,194.205670468,2.956440723326931,113.56549975757704,1.7100763073518084,65.68901210691524,1,0.0,0.0,0.1,0.0
2013-10-25 00:00:00+00:00,187.41013911199997,2.757306942272606,113.57646426768704,1.6500790046632832,67.96854432083438,1,0.0,0.0,0.1,0.0
2013-10-26 00:00:00+00:00,179.56,2.6329511055699286,113.32690250477702,1.584442846590915,68.19724058686324,1,0.0,0.0,0.1,0.0
2013-10-27 00:00:00+00:00,194.21404057,2.835603242911234,113.49755959903705,1.7111737138324146,68.49126056528483,1,0.0,0.0,0.1,0.0
2013-10-28 00:00:00+00:00,196.157851632,2.8533265536977215,114.07233225656104,1.7195918392447676,68.82604500333144,1,0.0,0.0,0.1,0.0
2013-10-29 00:00:00+00:00,204.71721574,2.9283636224887175,114.55436135107104,1.7870748291512863,69.73341083183283,1,0.0,0.0,0.1,0.0
2013-10-30 00:00:00+00:00,198.241483734,2.8276912566351355,115.08153930211304,1.7226175886783612,70.1071884240648,1,0.0,0.0,0.1,0.0
2013-10-31 00:00:00+00:00,203.188263428,2.8808981865308785,115.64193061925305,1.757046620892124,70.52948430387794,1,0.0,0.0,0.1,0.0
2013-11-01 00:00:00+00:00,202.66000000000005,2.85761584795335,116.28523061925304,1.742783661525853,70.98238726639065,1,0.0,0.0,0.1,0.0
2013-11-02 00:00:00+00:00,204.780666668,2.874453459940979,116.96923485796404,1.7507224606253562,71.23570734111115,1,0.0,0.0,0.1,0.0
2013-11-03 00:00:00+00:00,209.97676905199995,2.9327316738436835,117.56967870322404,1.785977229571538,71.59767493382753,1,0.0,0.0,0.1,0.0
2013-11-04 00:00:00+00:00,227.66147456,3.1032218700264553,118.16271290262402,1.9266777900369647,73.36293829292302,1,0.0,0.0,0.1,0.0
2013-11-05 00:00:00+00:00,242.853461094,3.2551329530741184,118.78763519045404,2.044433839470155,74.89452200155615,1,0.0,0.0,0.1,0.0
2013-11-06 00:00:00+00:00,263.374069342,3.4526769165505176,119.47268971878404,2.204470912657382,75.97237254914235,1,0.0,0.0,0.1,0.0
2013-11-07 00:00:00+00:00,290.83761704799997,3.668903516389886,120.33881554526404,2.4168229987156957,78.98921545834489,1,0.0,0.0,0.1,0.0
2013-11-08 00:00:00+00:00,334.186408682,4.091490688672517,121.39002758867402,2.7529972216035676,81.6375017806462,1,0.0,0.0,0.1,0.0
2013-11-09 00:00:00+00:00,334.87924823,3.9941355573265582,122.37925382982402,2.7364053771374555,83.84273478543344,1,0.0,0.0,0.1,0.0
2013-11-10 00:00:00+00:00,325.439078968,3.847079949907512,123.25944922466402,2.6402769200665888,84.5937914484527,1,0.0,0.0,0.1,0.0
2013-11-11 00:00:00+00:00,343.79950985600004,3.97992214594066,124.26898677394402,2.766575303952554,86.28583033571738,1,0.0,0.0,0.1,0.0
2013-11-12 00:00:00+00:00,354.930332458,4.019559786413538,125.35703843623402,2.831355437920178,88.29313287429916,1,0.0,0.0,0.1,0.0
2013-11-13 00:00:00+00:00,394.190255216,4.310589313287211,126.684239780984,3.1115966429406647,91.19098139466134,1,0.0,0.0,0.1,0.0
2013-11-14 00:00:00+00:00,415.8571482,4.4241447513524035,128.087081243774,3.246675185052777,94.24150273214896,1,0.0,0.0,0.1,0.0
2013-11-15 00:00:00+00:00,413.605101372,4.277626571721907,129.438628867864,3.195376102092554,96.69032451458432,1,0.0,0.0,0.1,0.0
2013-11-16 00:00:00+00:00,436.62648168,4.41580549043726,130.923841276264,3.3349654075507087,98.5855364057017,1,0.0,0.0,0.1,0.0
2013-11-17 00:00:00+00:00,474.8506854040001,4.7246603985531905,132.714344703284,3.577990657043495,101.32408532232216,1,0.0,0.0,0.1,0.0
2013-11-18 00:00:00+00:00,667.042706084,6.005599629142598,135.51738219111402,4.922192971107573,107.85537239026296,1,0.1,0.0,0.0,0.0
2013-11-19 00:00:00+00:00,540.536009962,4.733159157266893,137.73026687317903,3.9245985812234094,115.2866950037427,1,0.0,0.0,0.1,0.0
2013-11-20 00:00:00+00:00,598.564391,5.021314379618162,140.15893553371905,4.270611707492592,119.20472325525192,1,0.1,0.0,0.0,0.0
2013-11-21 00:00:00+00:00,719.821885452,5.794615410136128,143.173897162059,5.027605588169687,124.22254705512712,1,0.1,0.0,0.0,0.0
2013-11-22 00:00:00+00:00,796.079284704,5.806267257078487,146.59139408557903,5.43060040918401,137.10689664405143,1,0.1,0.0,0.0,0.0
2013-11-23 00:00:00+00:00,829.5318394279999,5.664480184449937,150.18435520214902,5.5234237834656295,146.17435469419073,1,0.1,0.0,0.0,0.0
2013-11-24 00:00:00+00:00,804.06619701,5.361842147257141,153.63715521624903,5.2335399980444315,149.96081102859796,1,0.1,0.0,0.0,0.0
2013-11-25 00:00:00+00:00,813.3048949680001,5.202511572638374,157.14545969108903,5.175490889566686,156.32928127357243,1,0.1,0.0,0.0,0.0
2013-11-26 00:00:00+00:00,916.060529778,5.2220326246005095,161.13634905080903,5.68500239191314,174.8050139954522,1,0.1,0.0,0.0,0.0
2013-11-27 00:00:00+00:00,964.312489128,5.21441869088108,165.380956496449,5.830855677441347,184.77935884070607,1,0.1,0.0,0.0,0.0
2013-11-28 00:00:00+00:00,1012.81292734,5.147733484373289,169.87252113314898,5.962194006328663,196.44615005221377,1,0.1,0.0,0.0,0.0
2013-11-29 00:00:00+00:00,1133.75527568,5.435331257390353,174.96165593223898,6.480021406056496,208.50152105064436,1,0.1,0.0,0.0,0.0
2013-11-30 00:00:00+00:00,1118.0154046600005,5.19489788002988,180.01642273752896,6.210630050626608,215.473225759264,1,0.1,0.0,0.0,0.0
2013-12-01 00:00:00+00:00,953.135950666,4.358622901732009,184.23913932118896,5.173363022524615,218.67823212860355,1,0.1,0.0,0.0,0.0
2013-12-02 00:00:00+00:00,1041.96372376,4.666104524767906,188.88235631540897,5.516469320300389,223.3048398785768,1,0.1,0.0,0.0,0.0
2013-12-03 00:00:00+00:00,1054.16594214,4.62124482512053,193.56590021084895,5.446031253395923,228.1129829801877,1,0.1,0.0,0.0,0.0
2013-12-04 00:00:00+00:00,1134.39085984,4.850140658696119,198.64543551004897,5.710631391691928,234.3081847744824,1,0.1,0.0,0.0,0.0
2013-12-05 00:00:00+00:00,1026.00829634,4.329433933342256,203.19357699174896,5.049413035244037,239.50481434867712,1,0.1,0.0,0.0,0.0
2013-12-06 00:00:00+00:00,811.3518261880001,3.321547571713812,206.66234091366897,3.925978108062435,241.43626584105303,1,0.0,0.0,0.1,0.0
2013-12-07 00:00:00+00:00,693.824481394,2.861303479545008,209.54472332063895,3.3111045241274386,242.4854568395272,1,0.0,0.0,0.1,0.0
2013-12-08 00:00:00+00:00,786.5764829899999,3.2323006409587824,212.88222812640896,3.694890315235393,243.34880023928756,1,0.0,0.0,0.1,0.0
2013-12-09 00:00:00+00:00,897.73743765,3.655920285697502,216.75173892743896,4.141777325950458,245.04697562492916,1,0.0,0.0,0.1,0.0
2013-12-10 00:00:00+00:00,979.69510658,3.9470602667834416,221.00689487061896,4.432871233060532,247.46417216071112,1,0.0,0.0,0.1,0.0
2013-12-11 00:00:00+00:00,877.395064578,3.4915972731520584,224.74946733045897,3.9038805074804817,251.11113693718835,1,0.0,0.0,0.1,0.0
2013-12-12 00:00:00+00:00,873.043849604,3.4699254486300712,228.46467617469895,3.821351572688698,252.02728237785615,1,0.0,0.0,0.1,0.0
2013-12-13 00:00:00+00:00,885.3134358740001,3.478720365219264,232.26000477659895,3.811734339390656,254.49399288470795,1,0.0,0.0,0.1,0.0
2013-12-14 00:00:00+00:00,852.01974842,3.3506352510047717,235.89073506469896,3.611925445848106,254.28603371987467,1,0.0,0.0,0.1,0.0
2013-12-15 00:00:00+00:00,861.894691022,3.373393371950846,239.54895108369897,3.5979898351583763,255.49783140872273,1,0.0,0.0,0.1,0.0
2013-12-16 00:00:00+00:00,690.700953712,2.675692474117747,242.367645852259,2.8498067523956285,256.0985535888027,1,0.0,0.0,0.1,0.0
2013-12-17 00:00:00+00:00,675.8618964919999,2.6666089394248025,245.107548387159,2.757409557311731,256.0710739983087,1,0.0,0.0,0.1,0.0
2013-12-18 00:00:00+00:00,520.8357772840001,2.0406842342828124,247.06803960803904,2.1080661752539087,255.22605042668204,1,0.0,0.0,0.1,0.0
2013-12-19 00:00:00+00:00,684.727403898,2.692824856381806,249.87994573967907,2.740225518582984,254.2784772189117,1,0.0,0.0,0.1,0.0
2013-12-20 00:00:00+00:00,607.9770523139999,2.3845338525196835,252.3040683051491,2.4096997579075192,254.9668362525297,1,0.0,0.0,0.1,0.0
2013-12-21 00:00:00+00:00,597.4978388019999,2.305927655629783,254.6899488596791,2.3459812272811367,259.6649871613025,1,0.0,0.0,0.1,0.0
2013-12-22 00:00:00+00:00,613.3973363260001,2.3917427854690425,257.1509835645591,2.3853587018149724,256.46459144882806,1,0.0,0.0,0.1,0.0
2013-12-23 00:00:00+00:00,657.355982328,2.557419321330197,259.84370619167913,2.5298129862844845,257.02323363933476,1,0.0,0.0,0.1,0.0
2013-12-24 00:00:00+00:00,652.445016424,2.5170769457730024,262.5543811700791,2.484990018130206,258.1589853243213,1,0.0,0.0,0.1,0.0
2013-12-25 00:00:00+00:00,679.4395154160001,2.584685099837396,265.4059759620791,2.5600008174385556,262.8712934735237,1,0.0,0.0,0.1,0.0
2013-12-26 00:00:00+00:00,747.7618741939999,2.8314871284633982,268.6465198840051,2.783441507140554,264.108282039703,1,0.0,0.0,0.1,0.0
2013-12-27 00:00:00+00:00,723.730979262,2.7072891694582166,271.7436020289851,2.663286178067237,265.6801942652994,1,0.0,0.0,0.1,0.0
2013-12-28 00:00:00+00:00,714.999117648,2.694990589672819,274.7817876172251,2.602061526159091,265.9873861314767,1,0.0,0.0,0.1,0.0
2013-12-29 00:00:00+00:00,728.090297256,2.733938430242821,277.89217829799514,2.6200460254596982,266.3155428819708,1,0.0,0.0,0.1,0.0
2013-12-30 00:00:00+00:00,735.9660303120002,2.761657134435683,281.06162881441514,2.6185219000419235,266.4943526606128,1,0.0,0.0,0.1,0.0
2013-12-31 00:00:00+00:00,731.9532930060001,2.7460084624273335,284.2252756857022,2.575257570742575,266.4233300436742,1,0.0,0.0,0.1,0.0
2014-01-01 00:00:00+00:00,753.405480556,2.8269742643705342,287.49379768186714,2.6205973368152384,266.50595658102196,1,0.0,0.0,0.1,0.0
2014-01-02 00:00:00+00:00,784.280603894,2.932128222139731,290.92021887636116,2.6958614527487113,267.47827669066544,1,0.0,0.0,0.1,0.0
2014-01-03 00:00:00+00:00,807.915916232,3.0036082095468863,294.4597984575212,2.7437223025490525,268.9817911883652,1,0.0,0.0,0.1,0.0
2014-01-04 00:00:00+00:00,828.7459845879999,3.0312314007224375,298.0824658526612,2.780257410369249,273.40241473827564,1,0.0,0.0,0.1,0.0
2014-01-05 00:00:00+00:00,904.760075074,3.279468581829083,302.0800737945312,2.995100152449643,275.8861847578309,1,0.0,0.0,0.1,0.0
2014-01-06 00:00:00+00:00,917.382725522,3.270610499303003,306.1520079897212,2.9964942302544046,278.0810625183958,1,0.0,0.0,0.1,0.0
2014-01-07 00:00:00+00:00,789.593524042,2.8981738590815405,309.5920828578712,2.550431899786306,279.4297497827287,1,0.0,0.0,0.1,0.0
2014-01-08 00:00:00+00:00,822.864923038,2.914172214203305,313.20640747306123,2.6272288925276035,281.8088695600702,1,0.0,0.0,0.1,0.0
2014-01-09 00:00:00+00:00,825.8665006040001,2.9225272476224995,316.83368997608125,2.606624632204824,282.58641601232273,1,0.0,0.0,0.1,0.0
2014-01-10 00:00:00+00:00,854.445450584,3.0028361440026483,320.60992569322224,2.6650623767699004,283.06669463455427,1,0.0,0.0,0.1,0.0
2014-01-11 00:00:00+00:00,893.6831232820001,3.104361434470187,324.58916691281615,2.7532746449361363,285.3792139809898,1,0.0,0.0,0.1,0.0
2014-01-12 00:00:00+00:00,843.286613774,2.940522021067329,328.3130068704992,2.568544639191309,286.78126119521806,1,0.0,0.0,0.1,0.0
2014-01-13 00:00:00+00:00,822.530427934,2.875344663874685,331.9414598590202,2.4779382132118695,287.25672496561526,1,0.0,0.0,0.1,0.0
2014-01-14 00:00:00+00:00,815.996819406,2.827576183275215,335.5723088812572,2.431657195214942,288.5852640266694,1,0.0,0.0,0.1,0.0
2014-01-15 00:00:00+00:00,840.1151583520001,2.8927680172092924,339.3279846730172,2.475820434207779,290.41912567965784,1,0.0,0.0,0.1,0.0
2014-01-16 00:00:00+00:00,814.4962523859999,2.7952930080898493,342.95305074976125,2.37494972155913,291.6432790174947,1,0.0,0.0,0.1,0.0
2014-01-17 00:00:00+00:00,794.5266687980001,2.720200879040327,346.50635219406627,2.2929642235043732,292.083821794185,1,0.0,0.0,0.1,0.0
2014-01-18 00:00:00+00:00,811.37762176,2.7739416900178164,350.1236389245722,2.3174031443640875,292.4372103678898,1,0.0,0.0,0.1,0.0
2014-01-19 00:00:00+00:00,841.4564324119999,2.87055296362977,353.9415709464052,2.377387968760006,293.1339163824349,1,0.0,0.0,0.1,0.0
2014-01-20 00:00:00+00:00,826.696425026,2.82171864955069,357.6788588311342,2.3112812083095364,293.94699477712754,1,0.0,0.0,0.1,0.0
2014-01-21 00:00:00+00:00,824.875769878,2.7987345095926335,361.46781664800017,2.282017186280431,294.47171618859903,1,0.0,0.0,0.1,0.0
2014-01-22 00:00:00+00:00,818.534270204,2.7720792031897004,365.22952086731215,2.241150354605025,295.4662780571172,1,0.0,0.0,0.1,0.0
2014-01-23 00:00:00+00:00,810.869203164,2.7404352268440677,368.9152789378051,2.1979821640857096,295.89066554870226,1,0.0,0.0,0.1,0.0
2014-01-24 00:00:00+00:00,779.3849452420001,2.640509148728507,372.4414601858971,2.092637443889799,296.5299326370582,1,0.0,0.0,0.1,0.0
2014-01-25 00:00:00+00:00,805.652675222,2.6967314166617937,376.09472264507406,2.1421536296915975,297.2240873368826,1,0.0,0.0,0.1,0.0
2014-01-26 00:00:00+00:00,814.847146534,2.7330307830770963,379.73882554916605,2.1458094134978016,297.68335826353183,1,0.0,0.0,0.1,0.0
2014-01-27 00:00:00+00:00,746.678657078,2.518737832986019,383.03404549758,1.9493793459221824,298.2402513434473,1,0.0,0.0,0.1,0.0
2014-01-28 00:00:00+00:00,785.9504199859999,2.631772134795399,386.512937639862,2.033438841103732,298.63923612334384,1,0.0,0.0,0.1,0.0
2014-01-29 00:00:00+00:00,794.098192396,2.649908615248199,390.02523553179,2.0360174677242773,299.2878883861876,1,0.0,0.0,0.1,0.0
2014-01-30 00:00:00+00:00,799.5229998400001,2.664690345587205,393.5726405309901,2.031449642336217,299.84663472705626,1,0.0,0.0,0.1,0.0
2014-01-31 00:00:00+00:00,802.998525562,2.6747025403818387,397.11877380773905,2.0220613542455275,300.21974908931907,1,0.0,0.0,0.1,0.0
2014-02-01 00:00:00+00:00,813.159890274,2.6967134110204354,400.72664361889,2.029213438194425,301.52892629191524,1,0.0,0.0,0.1,0.0
2014-02-02 00:00:00+00:00,814.932732602,2.698856129971986,404.34594593407,2.015434409066333,301.95486285905093,1,0.0,0.0,0.1,0.0
2014-02-03 00:00:00+00:00,808.5,2.6682387741932145,407.962631723406,1.981799157889916,302.40079429547023,1,0.0,0.0,0.1,0.0
2014-02-04 00:00:00+00:00,801.39173376,2.6479998179564723,411.537141557728,1.9473132624837104,302.64040364566716,1,0.0,0.0,0.1,0.0
2014-02-05 00:00:00+00:00,780.917515036,2.496867529566699,415.017048710843,1.881651651327926,312.7588892036731,1,0.0,0.0,0.1,0.0
2014-02-06 00:00:00+00:00,762.981093598,2.435462432145011,418.40268644946,1.823556870708961,313.39212315903825,1,0.0,0.0,0.1,0.0
2014-02-07 00:00:00+00:00,708.3660443880001,2.2695105257718535,421.516509889334,1.6805179103755064,312.85964262999767,1,0.0,0.0,0.1,0.0
2014-02-08 00:00:00+00:00,679.578138862,2.172984202276912,424.47996652307006,1.6009663410701045,312.7395671583435,1,0.0,0.0,0.1,0.0
2014-02-09 00:00:00+00:00,687.314088924,2.191884785321892,427.4748794083801,1.6078467344683136,312.90982701870297,1,0.0,0.0,0.1,0.0
